연번,"광역
단체명","기초
단체명",축제명,축제유형,개최기간,개최장소,개최방식,"최초
개최년도",예산(백만원),,,,방문객수(前년),,전담조직(축제사무국),,,"국비지원
부처명",담당자,
,,,,,,,,,국비,지방비,기타,합계,내국인,외국인,전담조직명,조직형태,설립근거,,성명,연락처
1,서울,본청,2022 서울빛초롱축제,문화예술,11.4.~20.(예정),종로구,오프라인,2009,0,,700(시비),700,"51,433",,서울관광재단,재단법인,,서울특별시,유가은,02-3788-0845
2,서울,강동구,제27회 강동선사문화축제,문화예술,22. 10. 8.~10.,서울 암사동 유적 일대,혼합형,1996,-,617,-,617,"10,000",-,강동구,지방자치단체,서울특별시 강동구 선사문화축제에 관한 조례,-,이지용,02-3425-8533
3,서울,강서구,허준축제,문화예술,10.6.~10.9.,"허준근린공원, 허준박물관 일대",대면,1999,0,395,0,395,"50,000명","1,500명",허준축제추진위원회,"임의단체
(축제추진위원회)",없음,,신옥현,02-2600-6455
4,서울,구로구,2022 구로G페스티벌,기타(주민화합),9.30~10.2,안양천일대,혼합형,2003,0,320,480,800,0,0,구로구 문화관광과,구청,,,정인환,02-860-2060
5,서울,노원구,노원달빛산책,생태자연,10.7.~10.23.,당현천 일원,대면,2014년,,131,,131,"731,051명",67명,노원문화재단,재단법인,서울시 노원구 문화재단 설립 및 운영에 관한조례 ,,남예운,02-860-2060
6,서울,노원구,수제맥주축제,주민화합,9.10.~9.11.,노원불빛정원,대면,2020년,,50,,50,-,-,노원문화재단,재단법인,서울시 노원구 문화재단 설립 및 운영에 관한조례 ,,남예운,02-2116-3776
7,서울 ,노원구,노원탈축제,문화예술,10.1.~10.2.,노해로 일원,대면,2013년,,123,,123,-,-,노원문화재단,재단법인,서울시 노원구 문화재단 설립 및 운영에 관한조례 ,,남예운,02-2116-3776
8,서울,서초구,2022 서리풀페스티벌,문화예술,9.19.~9.25.,서초구 전역,대면,2015,,650,350,"1,000",27만(2019년),,서초문화재단,재단법인,서울특별시 서초구 문화재단 설립 및 운영에 관한 조례(2015년),,이민섭,02-2155-6228
9,서울,성동구,태조이성계축제,전통역사,9~10월중(1일),살곶이체육공원,혼합형,1998,,84,,84,"3,000명('19년)",,성동문화재단,재단법인,성동문화재단 설립에 관한조례,,전지영,02-2286-5203
