2023년 지역축제 개최 계획,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
연번,"광역
단체명","기초
단체명",축제명,축제유형,개최기간,개최장소,개최방식,"최초
개최년도(년)",예산(백만원),,,,방문객수(前년),,전담조직(축제사무국),,,"국비지원
부처명",담당자,,,
,,,,,,,,,국비,지방비,기타,합계, 내국인(명) ,외국인(명),전담조직명,조직형태,설립근거,,성명,연락처,,
1,서울,-,서울뮤직페스티벌,문화예술,10.20~10.22,난지한강공원,혼합형,2019,0,"1,180",0,"1,180","10,000","1,000",서울시 문화예술과,지자체,,,유승운,02-2133-2570,,
2,서울,-,차 없는 잠수교 뚜벅뚜벅 축제,문화예술,"-상반기:4.30.~7.2.  
매주 일요일(10회)
-하반기:9.3.~11.12. 매주 일요일(10회)
 * 10. 1.(일) : 추석연휴 제외","잠수교
(반포한강공원)",대면,2022,0,"1,368",0,"1,368","520,000",추산불가,서울시 한강사업본부,지자체,,,강우원,02-3780-0760,,
3,서울,-,2023 한강페스티벌,문화예술,"봄(5.12.~5.14.).
여름(7.28.~8.13.),
가을(10.14.~10.21.),
겨울(12.1.~12.25.)",한강 수상 및 11개 한강공원 일대,대면,2013,0,954,0,954,"77,000",추산불가,서울시 한강사업본부,지자체,,,이혜수,02-3780-0718,,
4,서울,용산구,제25회 서울드럼페스티벌,문화예술,05.26.~05.27.,노들섬,대면,1999,0,560,0,560,"13,839",,서울시 문화예술과,지자체,-,-,한정원,02-2133-2573,,
5,서울,송파구,"2023 석촌호수의 가을과 겨울, 그리고 루미나리에",문화예술,10.27.~12.31.(예정),석촌호수,대면,2016,0,95,0,95,"200,000","1,000",송파구,자치구,,,유현주,02-2147-2111,,
6,서울,송파구,2023 커피 페스티벌,문화예술,10.7.~10.8.(예정),잠실 롯데월드타워 잔디광장,대면,2017,0,0,0,0,"100,000",800,"송파구, 한국경제신문",공동주최,,,이학림,02-2147-2116,,
7,서울,"종로구, 중구",제4회 2023서울도시건축비엔날레,문화예술,09.01.~10.29.,"열린송현녹지광장, 서울도시건축전시관, 서울시청(시민청)",대면,2017,0,"6,054",0,"6,054","650,000","50,000",서울시 건축기획과,지자체,,,양홍모,02-2133-7616,,
8,서울,중구, 2023 제15회 서울건축문화제 ,문화예술,09.01.~09.30.(예정),서울도시건축전시관 등,대면,2009,0,297,0,297,"52,028",-,서울시 건축기획과,지자체,,,정은희,02-2133-7622,,
9,서울,종로구,월간종로축제,문화예술,09.~10.,미정,대면,2023,0,200,0,200,"180,000",,종로구청 문화과,-,-,-,한형상,02-2148-1803,,
10,서울,종로구,종로한복축제,전통역사,09.22.~09.23.,광화문광장,대면,2016,0,100,0,100,"157,541",,종로문화재단,재단법인,서울특별시 종로구 재단법인 종로문화재단 설립 및 운영 조례,-,한형상,02-2148-1803,,
11,서울,종로구,자문밖 문화축제,문화예술,09.09.~09.11.,자문밖 일대,혼합형,2023,0,60,0,60,"3,000",,자문밖문화포럼,사단법인,공개모집,-,정준수,02-2148-1804,,
12,서울,종로구,인사동 엔틱 & 아트페어,전통역사,08.~10.,인사동 일대,대면,2023,0,270,0,270,"10,000",,(사)인사동전통문화보존회,사단법인,-,-,고형윤,02-2148-1805,,
13,서울,종로구,국악대축제,전통역사,09.17.,남인사마당(예정),대면,2006,0,40,0,40,"3,000",,공모 예정,-,공개모집,-,한형상,02-2148-1803,,
14,서울,종로구,종로음악이야기,전통역사,09.24.,남인사마당(예정),대면,2021,0,40,0,40,"2,000",,공모 예정,-,공개모집,-,한형상,02-2148-1803,,
15,서울,종로구,종로 문화재 야행,전통역사,09.26.~09.30.,청와대 경내 및 서촌 일대,대면,2022,10,150,0,160,500,,종로구청 문화과,-,-,-,김혜진,02-2148-1822,,
